date,close,volume,open,high,low,ticker,title
2015-04-06,0.5416,513730000.0,0.5242,0.5435,0.5188,NVDA,"NVIDIA Gets Favorable Ruling In Patent  Dispute With Samsung, Qualcomm"
2015-04-07,0.5465,413944400.0,0.5418,0.5525,0.5388,NVDA,
2015-04-08,0.5505,364253960.0,0.547,0.5525,0.5418,NVDA,
2015-04-09,0.5631,379409080.0,0.5463,0.565,0.546,NVDA,
2015-04-10,0.569,255158480.0,0.5638,0.5693,0.5617,NVDA,
2015-04-11,0.569,255158480.0,0.5638,0.5693,0.5617,NVDA,
2015-04-12,0.569,255158480.0,0.5638,0.5693,0.5617,NVDA,
2015-04-13,0.5638,233992680.0,0.5678,0.571,0.5613,NVDA,
2015-04-14,0.559,217749080.0,0.5615,0.5638,0.5536,NVDA,"Intel Shares Up 3% Following Qtr. Results, Guidance; AMD, H-P, NVIDIA, Lam Research, KLA-Tencor Shares Also Seeing Volatility"
2015-04-15,0.5657,239550440.0,0.5605,0.5699,0.5577,NVDA,
2015-04-16,0.5623,153237720.0,0.5625,0.5673,0.5583,NVDA,
2015-04-17,0.555,289740760.0,0.5505,0.5605,0.5503,NVDA,Option Alert: Nvidia Apr 24 $22.5 Call; 2853 Contract Trade at Ask @$0.23
2015-04-18,0.555,289740760.0,0.5505,0.5605,0.5503,NVDA,
2015-04-19,0.555,289740760.0,0.5505,0.5605,0.5503,NVDA,
2015-04-20,0.5523,229581680.0,0.5575,0.561,0.5513,NVDA,
2015-04-21,0.5514,229783640.0,0.559,0.559,0.5487,NVDA,
2015-04-22,0.5577,207200480.0,0.5548,0.5585,0.5463,NVDA,
2015-04-23,0.5555,254653680.0,0.5475,0.5607,0.5413,NVDA,NVIDIA Sets Conference Call for First-Quarter Financial Results
2015-04-24,0.5508,236208040.0,0.5553,0.5555,0.5445,NVDA,
2015-04-25,0.5508,236208040.0,0.5553,0.5555,0.5445,NVDA,
2015-04-26,0.5508,236208040.0,0.5553,0.5555,0.5445,NVDA,
2015-04-27,0.555,244312880.0,0.5525,0.5647,0.5478,NVDA,
2015-04-28,0.5576,231700600.0,0.554,0.5596,0.5487,NVDA,
2015-04-29,0.5535,190722000.0,0.5537,0.5593,0.5513,NVDA,
2015-04-30,0.5549,215158080.0,0.5508,0.5576,0.5495,NVDA,
2015-05-01,0.5687,254757840.0,0.5595,0.5705,0.557,NVDA,Wedbush Offers 4 Semiconductor Stocks To Watch Ahead Of Next Week's Earnings
2015-05-02,0.5687,254757840.0,0.5595,0.5705,0.557,NVDA,
2015-05-03,0.5687,254757840.0,0.5595,0.5705,0.557,NVDA,
2015-05-04,0.5653,199328160.0,0.5683,0.572,0.5635,NVDA,
2015-05-05,0.5508,292927800.0,0.5633,0.564,0.5483,NVDA,NVIDIA Announces Will Wind Down Icera Modem Operations NVIDIA to Wind Down Icera Modem Operations
2015-05-06,0.5525,316443400.0,0.5537,0.559,0.5453,NVDA,Morgan Stanley Comments On Nividia Winding Down Icera
2015-05-07,0.5623,533244000.0,0.5503,0.564,0.5485,NVDA,"Earnings Scheduled For May 7, 2015 NVIDIA Announces Financial Results for First Quarter Fiscal 2016"
2015-05-08,0.5206,1146444400.0,0.5253,0.546,0.5122,NVDA,7 Stocks You Should Be Watching Today NVIDIA Stockholder Meeting Set for May 20; Individuals Can Participate Online
2015-05-09,0.5206,1146444400.0,0.5253,0.546,0.5122,NVDA,
2015-05-10,0.5206,1146444400.0,0.5253,0.546,0.5122,NVDA,
2015-05-11,0.5158,544117600.0,0.5135,0.521,0.5095,NVDA,Nvidia Falls Short...And Wall Street Reacts
2015-05-12,0.5207,388674040.0,0.512,0.525,0.5118,NVDA,
2015-05-13,0.5238,308522800.0,0.5245,0.5285,0.5188,NVDA,
2015-05-14,0.5323,293050600.0,0.5253,0.535,0.524,NVDA,3 Semiconductor Stocks With Soaring Short Interest
2015-05-15,0.5325,215824760.0,0.5345,0.537,0.5293,NVDA,
2015-05-16,0.5325,215824760.0,0.5345,0.537,0.5293,NVDA,
2015-05-17,0.5325,215824760.0,0.5345,0.537,0.5293,NVDA,
2015-05-18,0.5318,324963680.0,0.5313,0.535,0.5287,NVDA,
2015-05-19,0.526,250340880.0,0.53,0.5318,0.525,NVDA,NVIDIA Announces Upcoming Event for Financial Community
2015-05-20,0.526,196821360.0,0.5263,0.5325,0.5255,NVDA,
2015-05-21,0.5222,239690000.0,0.5263,0.5285,0.5218,NVDA,
2015-05-22,0.5215,212591280.0,0.5235,0.5254,0.5202,NVDA,
2015-05-23,0.5215,212591280.0,0.5235,0.5254,0.5202,NVDA,
2015-05-24,0.5215,212591280.0,0.5235,0.5254,0.5202,NVDA,
2015-05-25,0.5215,212591280.0,0.5235,0.5254,0.5202,NVDA,
2015-05-26,0.5182,259714280.0,0.519,0.5225,0.5144,NVDA,
2015-05-27,0.546,432320000.0,0.5218,0.5484,0.52,NVDA,Nvidia Remains JMP's 'Best Idea'...Here's Why
2015-05-28,0.5535,327617240.0,0.546,0.5553,0.545,NVDA,Goldman Sachs Met With Semiconductor Giants; Here's What Happened
2015-05-29,0.5533,335116960.0,0.5535,0.557,0.5525,NVDA,
2015-05-30,0.5533,335116960.0,0.5535,0.557,0.5525,NVDA,
2015-05-31,0.5533,335116960.0,0.5535,0.557,0.5525,NVDA,
